Rk▼,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
21,Tom Wilson\wilsoto01,27,WSH,RW,78,24,28,52,13,98,5.5,18,4,2,5,21,6,1,151,15.9,1449,18:35,55,240,22,30,42.3
22,Maxwell Willman\willmma01,26,PHI,C,41,4,2,6,-13,16,-0.2,4,0,0,0,2,0,0,65,6.2,483,11:46,10,53,2,5,28.6
23,Chris Wideman\widemch01,32,MTL,D,64,4,23,27,-25,67,1.9,4,0,0,1,11,12,0,76,5.3,952,14:53,46,44,0,0,
24,Zach Whitecloud\whiteza01,25,VEG,D,59,8,11,19,21,20,5.0,7,0,1,1,11,0,0,94,8.5,1109,18:48,115,98,0,0,
25,Colton White\whiteco03,24,NJD,D,27,0,4,4,2,8,0.9,0,0,0,0,4,0,0,18,0.0,358,13:15,14,24,0,0,
26,Colin White\whiteco02,25,OTT,C,24,3,7,10,-11,4,0.3,1,2,0,1,2,5,0,47,6.4,368,15:20,4,28,86,91,48.6
27,Blake Wheeler\wheelbl01,35,WPG,RW,65,17,43,60,-15,36,4.7,14,3,0,2,26,17,0,167,10.2,1270,19:32,37,62,4,17,19.0
28,Zach Werenski\werenza01,24,CBJ,D,68,11,37,48,-15,22,5.8,7,4,0,2,26,10,1,216,5.1,1745,25:40,95,33,0,0,
29,Alexander Wennberg\wennbal01,27,SEA,C,80,11,26,37,-26,28,1.6,9,2,0,2,21,4,1,95,11.6,1428,17:51,44,47,555,635,46.6
30,MacKenzie Weegar\weegama01,28,FLA,D,80,8,36,44,40,81,7.9,6,1,1,2,33,2,1,203,3.9,1870,23:22,156,179,0,0,
31,Jasper Weatherby\weathja01,24,SJS,C,50,5,6,11,-14,18,0.3,4,1,0,0,5,1,0,45,11.1,562,11:14,24,52,173,168,50.7
32,Austin Watson\watsoau01,30,OTT,LW,67,10,6,16,-3,91,1.3,9,0,1,1,6,0,0,88,11.4,803,11:59,63,213,7,13,35.0
33,Reilly Walsh\walshre01,22,NJD,D,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,2,0.0,14,14:23,2,0,0,0,
34,Jake Walman\walmaja01,25,TOT,D,51,3,7,10,-3,10,1.6,3,0,0,0,6,1,0,87,3.4,715,14:01,58,47,0,0,
35,Sean Walker\walkese01,27,LAK,D,6,0,2,2,-1,4,0.2,0,0,0,0,1,1,0,18,0.0,110,18:22,9,9,0,0,
36,Nathan Walker\walkena01,27,STL,C,30,8,4,12,1,2,1.3,8,0,0,2,4,0,0,38,21.1,346,11:33,22,58,8,15,34.8
37,Oliver Wahlstrom\wahlsol01,21,NYI,RW,73,13,11,24,-6,74,2.2,8,5,0,2,8,3,0,157,8.3,880,12:04,19,101,6,8,42.9
38,Chris Wagner\wagnech01,30,BOS,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,16,15:57,0,11,0,1,0.0
39,Jakub Vrana\vranaja01,25,DET,LW,26,13,6,19,-8,16,2.2,8,5,0,3,5,1,0,65,20.0,388,14:56,9,14,1,2,33.3
40,Jakub Voracek\voracja01,32,CBJ,RW,79,6,56,62,-13,44,3.7,4,2,0,2,33,23,0,147,4.1,1379,17:28,28,27,5,28,15.2
41,Marc-Edouard Vlasic\vlasima01,34,SJS,D,75,3,11,14,-22,18,1.9,3,0,0,0,11,0,0,63,4.8,1141,15:13,90,54,0,0,
42,Alex Vlasic\vlasial01,20,CHI,D,15,1,1,2,-2,2,0.4,1,0,0,0,1,0,0,12,8.3,215,14:19,16,15,0,0,
43,Gabriel Vilardi\vilarga01,22,LAK,C,25,5,2,7,-5,8,0.5,3,2,0,1,2,0,0,41,12.2,338,13:31,9,6,60,71,45.8
44,Jeffrey Viel\vielje01,25,SJS,F,34,3,2,5,-2,114,0.3,3,0,0,0,2,0,0,30,10.0,299,8:48,11,84,4,8,33.3
45,Jimmy Vesey\veseyji02,28,NJD,LW,68,8,7,15,-24,12,-0.2,6,0,2,2,7,0,0,110,7.3,981,14:25,29,85,18,43,29.5
46,Kristian Vesalainen\vesalkr01,22,WPG,W,53,2,1,3,-8,6,-0.6,2,0,0,0,1,0,0,43,4.7,460,8:40,14,72,0,1,0.0
47,Carter Verhaeghe\verhaca01,26,FLA,C,78,24,31,55,24,48,5.8,24,0,0,4,28,3,0,167,14.4,1251,16:02,16,50,19,10,65.5
48,Joe Veleno\velenjo01,22,DET,C,66,8,7,15,-14,22,0.4,8,0,0,0,7,0,0,73,11.0,872,13:13,25,123,222,238,48.3
49,Lukas Vejdemo\vejdelu01,26,MTL,C,6,1,0,1,-3,0,0.0,1,0,0,0,0,0,0,10,10.0,64,10:38,4,7,13,18,41.9
50,Mike Vecchione\vecchmi01,28,WSH,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,3,0.0,5,5:06,0,0,0,0,
51,Frank Vatrano\vatrafr01,27,TOT,LW,71,18,14,32,4,22,3.2,17,1,0,3,13,1,0,161,11.2,934,13:10,26,68,12,13,48.0
52,Trevor van Riemsdyk\vanritr01,30,WSH,D,72,1,16,17,-3,40,2.5,1,0,0,0,15,0,1,75,1.3,1258,17:28,129,25,0,0,
53,James van Riemsdyk\vanrija01,32,PHI,LW,82,24,14,38,-33,25,2.9,15,9,0,4,14,0,0,186,12.9,1321,16:07,25,34,10,14,41.7
54,Juuso Valimaki\valimju01,23,CGY,D,9,0,2,2,0,10,0.3,0,0,0,0,2,0,0,11,0.0,141,15:42,9,8,0,0,
55,Urho Vaakanainen\vaakaur01,23,TOT,D,29,0,6,6,-5,10,0.9,0,0,0,0,5,1,0,27,0.0,560,19:19,28,27,0,0,
56,T.J. Tynan\tynant.01,29,LAK,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,22,10:51,2,1,6,7,46.2
57,Kyle Turris\turriky01,32,EDM,C,23,1,3,4,-5,4,0.0,1,0,0,0,3,0,0,21,4.8,198,8:37,6,13,28,22,56.0
58,Alex Turcotte\turcoal02,20,LAK,C,8,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,13,0.0,90,11:16,2,8,12,17,41.4
59,Riley Tufte\tufteri01,23,DAL,LW,10,1,0,1,0,4,0.1,1,0,0,0,0,0,0,5,20.0,72,7:12,4,9,1,1,50.0
60,Alex Tuch\tuchal01,25,BUF,RW,50,12,26,38,-3,14,3.4,9,2,1,0,20,6,0,139,8.6,920,18:25,49,32,9,14,39.1
61,Alexander True\trueal01,24,SEA,F,8,0,0,0,-2,2,-0.2,0,0,0,0,0,0,0,6,0.0,66,8:15,2,22,12,15,44.4
62,Jacob Trouba\troubja01,27,NYR,D,81,11,28,39,25,88,8.9,10,1,0,1,23,3,2,204,5.4,1817,22:26,177,207,0,0,
63,Vincent Trocheck\trochvi01,28,CAR,C,81,21,30,51,21,78,5.3,15,6,0,3,24,6,0,168,12.5,1448,17:52,46,185,680,565,54.6
64,Yakov Trenin\treniya01,25,NSH,C,80,17,7,24,7,46,2.2,17,0,0,2,7,0,0,136,12.5,1173,14:40,33,191,12,23,34.3
65,Brayden Tracey\tracebr01,20,ANA,LW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,9,9:21,0,0,0,0,
66,Alexey Toropchenko\toropal01,22,STL,RW,28,2,0,2,-9,15,-0.5,2,0,0,0,0,0,0,43,4.7,300,10:43,21,69,1,2,33.3
67,Dominic Toninato\tonindo01,27,WPG,C,77,7,7,14,1,22,1.0,6,0,1,1,3,1,3,44,15.9,647,8:24,32,92,87,118,42.4
68,Philip Tomasino\tomasph01,20,NSH,C,76,11,21,32,2,10,2.7,8,3,0,3,15,6,0,111,9.9,877,11:32,28,49,21,33,38.9
69,Eeli Tolvanen\tolvaee01,22,NSH,RW,75,11,12,23,-7,16,1.3,10,1,0,1,7,5,0,151,7.3,1007,13:26,45,176,0,1,0.0
70,Tyler Toffoli\toffoty01,29,TOT,C,74,20,29,49,-5,14,4.5,10,8,2,1,20,8,1,195,10.3,1206,16:18,24,81,18,16,52.9
71,Jonathan Toews\toewsjo01,33,CHI,C,71,12,25,37,-14,39,2.4,7,4,1,2,22,3,0,125,9.6,1241,17:29,22,25,788,548,59.0
72,Devon Toews\toewsde01,27,COL,D,66,13,44,57,52,20,11.2,11,2,0,3,34,10,0,158,8.2,1674,25:22,85,54,0,0,
73,Matthew Tkachuk\tkachma01,24,CGY,LW,82,42,62,104,57,68,13.5,30,12,0,6,45,17,0,253,16.6,1468,17:54,20,93,20,23,46.5
74,Brady Tkachuk\tkachbr01,22,OTT,LW,79,30,37,67,-7,117,7.1,21,9,0,3,29,8,0,288,10.4,1485,18:48,25,270,218,217,50.1
75,Vladimir Tkachev\tkachvl02,26,LAK,F,4,0,2,2,-2,2,0.0,0,0,0,0,0,2,0,1,0.0,56,13:59,0,1,1,1,50.0
76,Owen Tippett\tippeow01,22,TOT,RW,63,10,11,21,-2,12,1.4,9,1,0,1,9,2,0,126,7.9,846,13:25,16,98,21,34,38.2
77,Jarred Tinordi\tinorja01,29,NYR,D,7,1,0,1,-5,7,-0.1,1,0,0,1,0,0,0,5,20.0,90,12:51,8,17,0,0,
78,Conor Timmins\timmico01,23,ARI,D,6,0,0,0,-6,0,-0.3,0,0,0,0,0,0,0,5,0.0,106,17:45,9,7,0,0,
79,Chris Tierney\tiernch01,27,OTT,C,70,6,12,18,-12,14,0.7,3,3,0,2,10,2,0,72,8.3,869,12:25,30,42,264,267,49.7
80,Joe Thornton\thornjo01,42,FLA,C,34,5,5,10,-10,10,0.3,2,3,0,1,5,0,0,26,19.2,379,11:09,10,20,77,98,44.0
81,Lassi Thomson\thomsla01,21,OTT,D,16,0,5,5,-8,2,0.3,0,0,0,0,4,1,0,18,0.0,276,17:15,9,23,0,0,
82,Tyce Thompson\thompty01,22,NJD,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,29,14:25,0,2,1,0,100.0
83,Tage Thompson\thompta01,24,BUF,C,78,38,30,68,-17,37,7.7,26,10,2,4,24,6,0,253,15.0,1395,17:53,25,66,393,582,40.3
84,Nate Thompson\thompna01,37,PHI,C,33,1,2,3,-15,31,-0.7,1,0,0,0,2,0,0,23,4.3,395,11:58,20,49,160,127,55.7
85,Robert Thomas\thomaro01,22,STL,C,72,20,57,77,17,16,7.3,15,3,2,6,45,11,1,115,17.4,1352,18:47,25,13,562,565,49.9
86,Shea Theodore\theodsh01,26,VEG,D,78,14,38,52,6,24,8.2,13,1,0,5,27,11,0,205,6.8,1804,23:08,97,37,0,0,
87,Alexandre Texier\texieal01,22,CBJ,C,36,11,9,20,0,12,2.1,10,0,1,0,8,0,1,59,18.6,526,14:36,12,13,20,37,35.1
88,Troy Terry\terrytr01,24,ANA,C,75,37,30,67,-11,26,7.6,29,8,0,7,23,7,0,192,19.3,1368,18:14,27,6,1,8,11.1
89,Teuvo Teravainen\teravte01,27,CAR,F,77,22,43,65,22,24,6.9,11,9,2,2,20,22,1,202,10.9,1363,17:42,30,15,24,20,54.5
90,Matt Tennyson\tennyma01,31,NSH,D,8,0,3,3,0,4,0.4,0,0,0,0,3,0,0,5,0.0,103,12:55,4,12,0,0,
91,John Tavares\tavarjo01,31,TOR,C,79,27,49,76,-8,32,6.9,17,10,0,3,33,16,0,237,11.4,1428,18:04,44,90,813,529,60.6
92,Tomas Tatar\tatarto01,31,NJD,LW,76,15,15,30,-22,22,1.7,13,2,0,1,12,3,0,132,11.4,1127,14:50,28,75,19,31,38.0
93,Vladimir Tarasenko\tarasvl01,30,STL,RW,75,34,48,82,7,32,8.9,29,5,0,9,30,17,1,230,14.8,1268,16:55,45,83,4,7,36.4
94,Chris Tanev\tanevch01,32,CGY,D,82,6,22,28,35,22,6.9,6,0,0,3,22,0,0,88,6.8,1677,20:27,158,52,0,0,
95,Brandon Tanev\tanevbr01,30,SEA,LW,30,9,6,15,4,13,1.8,6,2,1,3,6,0,0,51,17.6,437,14:34,22,98,1,1,50.0
96,Evgeny Svechnikov\svechev01,25,WPG,LW,72,7,12,19,-4,38,1.1,7,0,0,1,12,0,0,78,9.0,774,10:45,22,104,3,4,42.9
97,Andrei Svechnikov\svechan01,21,CAR,RW,78,30,39,69,19,79,7.9,21,9,0,5,26,13,0,249,12.0,1346,17:16,15,189,0,6,0.0
98,Nick Suzuki\suzukni01,22,MTL,C,82,21,40,61,-29,30,4.2,12,8,1,4,26,12,2,186,11.3,1682,20:31,62,89,699,711,49.6
99,Ryan Suter\suterry01,37,DAL,D,82,7,25,32,1,40,6.5,3,4,0,0,16,9,0,118,5.9,1940,23:39,88,46,0,0,
100,Pius Suter\suterpi01,25,DET,F,82,15,21,36,-11,22,2.3,14,0,1,3,18,3,0,166,9.0,1388,16:55,37,24,495,509,49.3
101,Andrej Sustr\sustran01,31,TOT,D,38,1,5,6,-4,16,1.0,1,0,0,0,5,0,0,28,3.6,559,14:43,36,27,0,0,
102,Oskar Sundqvist\sundqos01,27,TOT,C,59,8,15,23,5,29,1.7,8,0,0,1,15,0,0,70,11.4,826,14:00,29,70,75,107,41.2
103,C.J. Suess\frankcl01,27,WPG,LW,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,17,5:43,5,2,2,2,50.0
104,P.K. Subban\subbapk01,32,NJD,D,77,5,17,22,-8,82,3.4,5,0,0,1,16,0,1,114,4.4,1409,18:18,90,69,0,0,
105,Tim Stützle\stuetti02,20,OTT,LW,79,22,36,58,-27,37,4.8,14,7,1,4,17,19,0,176,12.5,1455,18:25,52,125,180,293,38.1
106,Nico Sturm\sturmni01,26,TOT,C,74,9,11,20,-7,14,0.7,7,1,1,0,11,0,0,101,8.9,881,11:54,29,99,311,278,52.8
107,Jack Studnicka\studnja01,22,BOS,C,15,0,3,3,-5,4,-0.2,0,0,0,0,3,0,0,21,0.0,189,12:36,5,17,58,61,48.7
108,Marian Studenic\studema01,23,TOT,RW,33,2,2,4,-7,6,-0.2,2,0,0,0,2,0,0,42,4.8,368,11:09,15,25,1,3,25.0
109,Ryan Strome\stromry01,28,NYR,C,74,21,33,54,15,69,5.6,15,5,1,5,24,9,0,161,13.0,1356,18:19,19,41,363,455,44.4
110,Dylan Strome\stromdy01,24,CHI,C,69,22,26,48,-6,28,4.7,17,5,0,2,15,11,0,126,17.5,1203,17:26,33,11,460,419,52.3
111,Austin Strand\stranau01,24,LAK,D,8,0,2,2,-1,0,0.3,0,0,0,0,2,0,0,9,0.0,122,15:17,5,7,0,0,
112,Anton Stralman\stralan01,35,ARI,D,74,8,15,23,-16,12,3.6,8,0,0,1,15,0,0,95,8.4,1579,21:20,100,99,0,0,
113,Michael Stone\stonemi01,31,CGY,D,11,2,4,6,3,4,1.1,1,1,0,1,3,1,0,24,8.3,192,17:27,17,26,0,0,
114,Mark Stone\stonema01,29,VEG,RW,37,9,21,30,7,8,2.9,6,3,0,2,17,3,1,71,12.7,679,18:21,24,19,13,16,44.8
115,Riley Stillman\stillri01,23,CHI,D,52,2,10,12,-8,36,1.8,2,0,0,1,10,0,0,49,4.1,783,15:04,67,122,0,0,
116,Chandler Stephenson\stephch02,27,VEG,C,79,21,43,64,5,26,5.8,14,6,1,3,34,8,1,125,16.8,1525,19:18,44,68,653,602,52.0
117,Mitchell Stephens\stephmi01,24,DET,C,27,0,6,6,-8,8,-0.2,0,0,0,0,6,0,0,17,0.0,302,11:11,9,21,124,129,49.0
118,Derek Stepan\stepade01,31,CAR,C,58,9,10,19,0,14,1.7,9,0,0,0,10,0,0,96,9.4,626,10:48,25,29,248,196,55.9
119,Kevin Stenlund\stenlke01,25,CBJ,C,3,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,23,7:32,2,2,1,0,100.0
120,Alex Steeves\steeval02,22,TOR,F,3,0,1,1,-1,0,0.0,0,0,0,0,1,0,0,2,0.0,24,7:58,1,1,0,0,
121,Oskar Steen\steenos01,23,BOS,C,20,2,4,6,-1,6,0.4,2,0,0,0,4,0,0,25,8.0,221,11:04,8,32,1,5,16.7
122,Sam Steel\steelsa01,23,ANA,C,68,6,14,20,-17,16,0.7,6,0,0,1,11,3,0,66,9.1,837,12:19,27,37,203,209,49.3
123,Troy Stecher\stechtr01,27,TOT,D,29,1,2,3,-7,13,0.4,1,0,0,0,2,0,0,50,2.0,483,16:40,38,33,0,0,
124,Paul Stastny\stastpa01,36,WPG,C,71,21,24,45,14,14,4.7,17,4,0,2,20,4,0,141,14.9,1263,17:47,27,27,267,205,56.6
125,Logan Stanley\stanllo01,23,WPG,D,58,1,12,13,1,44,2.1,1,0,0,1,11,0,1,80,1.3,907,15:39,100,131,0,0,
126,Steven Stamkos\stamkst01,31,TBL,C,81,42,64,106,24,36,12.4,26,16,0,11,44,20,0,241,17.4,1497,18:29,31,93,545,523,51.0
127,Marc Staal\staalma01,35,DET,D,71,3,13,16,-1,28,3.0,3,0,0,1,13,0,0,76,3.9,1237,17:25,75,94,0,0,
128,Jordan Staal\staaljo01,33,CAR,C,78,17,19,36,11,18,3.3,16,1,0,2,18,1,0,146,11.6,1297,16:38,29,212,736,549,57.3
129,Jared Spurgeon\spurgja01,32,MIN,D,65,10,30,40,32,10,7.1,10,0,0,2,16,14,0,116,8.6,1375,21:09,83,44,0,0,
130,Daniel Sprong\spronda01,24,TOT,RW,63,14,6,20,0,8,2.0,12,2,0,0,6,0,0,153,9.2,818,12:59,12,43,0,4,0.0
131,Jason Spezza\spezzja01,38,TOR,C,71,12,13,25,-3,26,2.0,9,3,0,1,6,7,0,97,12.4,763,10:45,24,31,305,272,52.9
132,Jordan Spence\spencjo01,20,LAK,D,24,2,6,8,0,2,1.5,2,0,0,1,4,2,0,41,4.9,474,19:45,29,32,0,0,
133,Blake Speers\speerbl01,25,ARI,C,2,0,0,0,-3,2,-0.1,0,0,0,0,0,0,0,1,0.0,18,9:10,2,3,6,5,54.5
134,Carson Soucy\soucyca01,27,SEA,D,64,10,11,21,7,47,4.6,9,0,1,1,8,2,1,97,10.3,1130,17:40,73,118,0,0,
135,Egor Sokolov\sokoleg01,21,OTT,F,8,0,0,0,-6,4,-0.3,0,0,0,0,0,0,0,8,0.0,83,10:22,4,13,0,0,
136,Victor Soderstrom\sodervi01,20,ARI,D,16,0,0,0,-7,6,-0.2,0,0,0,0,0,0,0,14,0.0,261,16:19,23,14,0,0,
137,Joe Snively\snivejo01,26,WSH,F,12,4,3,7,3,2,1.0,3,1,0,0,3,0,0,21,19.0,139,11:33,3,2,0,1,0.0
138,Ty Smith\smithty01,21,NJD,D,66,5,15,20,-26,22,1.7,5,0,0,0,11,4,0,77,6.5,1155,17:30,73,45,0,0,
139,Reilly Smith\smithre01,30,VEG,RW,56,16,22,38,4,8,3.7,11,3,2,3,16,4,2,150,10.7,996,17:47,23,55,4,4,50.0
140,Nathan Smith\smithna03,23,ARI,C,10,2,2,4,-1,2,0.3,2,0,0,0,2,0,0,14,14.3,142,14:09,6,26,38,58,39.6
141,Givani Smith\smithgi01,23,DET,RW,46,4,3,7,-6,108,0.2,4,0,0,0,3,0,0,50,8.0,390,8:28,20,86,1,1,50.0
142,Gemel Smith\smithge02,27,DET,C,3,0,1,1,-2,5,0.0,0,0,0,0,1,0,0,1,0.0,20,6:46,1,0,6,4,60.0
143,Craig Smith\smithcr01,32,BOS,C,74,16,20,36,2,28,3.4,16,0,0,1,16,4,0,187,8.6,1067,14:25,28,95,4,8,33.3
144,Cole Smith\smithco02,26,NSH,F,8,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,3,0.0,71,8:50,1,21,0,1,0.0
145,C.J. Smith\smithcj01,27,CAR,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,9,9:22,0,1,0,0,
146,Brendan Smith\smithbr05,32,CAR,D,45,4,4,8,6,36,2.3,4,0,0,1,4,0,0,63,6.3,626,13:55,40,73,0,0,
147,Josiah Slavin\slavijo01,23,CHI,LW,15,0,1,1,0,4,-0.2,0,0,0,0,1,0,0,13,0.0,180,12:02,4,12,29,38,43.3
148,Jaccob Slavin\slavija01,27,CAR,D,79,4,38,42,35,10,8.9,3,1,0,0,30,6,2,165,2.4,1859,23:32,121,50,0,0,
149,Brady Skjei\skjeibr01,27,CAR,D,82,9,30,39,22,48,8.0,9,0,0,0,30,0,0,184,4.9,1734,21:09,73,95,0,0,
150,Jeff Skinner\skinnje01,29,BUF,LW,80,33,30,63,-14,42,6.8,28,5,0,4,24,6,0,262,12.6,1368,17:06,20,29,91,133,40.6
151,Colton Sissons\sissoco01,28,NSH,C,79,7,21,28,2,30,1.3,6,1,0,0,18,3,0,87,8.0,1277,16:10,44,188,719,573,55.7
152,Dominik Simon\simondo01,27,TOT,C,72,3,10,13,0,34,0.4,3,0,0,1,9,1,0,88,3.4,741,10:17,38,72,9,12,42.9
153,Wayne Simmonds\simmowa01,33,TOR,RW,72,5,11,16,-7,96,0.5,5,0,0,2,10,1,0,79,6.3,672,9:20,11,148,3,3,50.0
154,Radim Simek\simekra01,29,SJS,D,36,1,1,2,-13,8,0.1,1,0,0,0,1,0,0,25,4.0,478,13:17,39,96,0,0,
155,Cole Sillinger\sillico01,18,CBJ,C,79,16,15,31,-22,37,1.9,16,0,0,3,13,2,0,148,10.8,1082,13:42,43,98,362,417,46.5
156,Jakob Silfverberg\silfvja01,31,ANA,LW,53,5,16,21,-3,30,1.1,4,1,0,0,12,4,0,120,4.2,903,17:02,40,16,8,16,33.3
157,Dylan Sikura\sikurdy01,26,COL,C,5,0,1,1,0,0,0.0,0,0,0,0,1,0,0,3,0.0,50,9:57,3,0,0,0,
158,Jonas Siegenthaler\siegejo01,24,NJD,D,70,1,13,14,-5,42,2.5,1,0,0,0,12,0,1,92,1.1,1440,20:34,106,98,0,0,
159,Devin Shore\shorede01,27,EDM,C,49,5,6,11,-4,10,0.6,4,0,1,0,6,0,0,36,13.9,469,9:34,21,67,102,112,47.7
160,Kole Sherwood\sherwko01,25,NSH,RW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,8,8:08,0,3,0,0,
161,Kiefer Sherwood\sherwki01,26,COL,RW,11,1,1,2,3,0,0.2,1,0,0,1,1,0,0,9,11.1,94,8:34,4,12,1,0,100.0
162,Conor Sheary\shearco01,29,WSH,LW,71,19,24,43,-2,14,4.2,17,2,0,5,20,4,0,129,14.7,1085,15:17,44,45,11,16,40.7
163,Riley Sheahan\sheahri01,30,SEA,C,69,4,13,17,6,2,1.0,4,0,0,0,11,0,2,69,5.8,831,12:03,28,16,263,296,47.0
164,Mason Shaw\shawma01,23,MIN,C,3,0,0,0,-2,5,-0.1,0,0,0,0,0,0,0,7,0.0,27,8:59,1,6,1,2,33.3
165,Logan Shaw\shawlo01,30,OTT,RW,17,1,2,3,-3,2,0.1,1,0,0,0,2,0,0,17,5.9,159,9:23,5,11,58,57,50.4
166,Kevin Shattenkirk\shattke01,33,ANA,D,82,8,27,35,-9,36,5.7,7,1,0,1,14,13,0,163,4.9,1756,21:25,135,73,0,1,0.0
167,Yegor Sharangovich\sharaye01,23,NJD,C,76,24,22,46,-14,23,4.2,20,2,2,3,21,1,0,168,14.3,1255,16:30,26,30,89,131,40.5
168,Michael Sgarbossa\sgarbmi01,29,WSH,C,10,2,2,4,3,0,0.5,2,0,0,0,2,0,0,11,18.2,99,9:54,2,7,41,31,56.9
169,Damon Severson\severda01,27,NJD,D,80,11,35,46,-14,57,6.3,6,5,0,0,23,11,1,158,7.0,1888,23:36,92,91,0,0,
170,Mikhail Sergachev\sergami01,23,TBL,D,78,7,31,38,6,59,6.1,6,1,0,1,24,6,1,149,4.7,1753,22:28,123,139,0,0,
171,Zachary Senyshyn\senysza01,24,OTT,RW,2,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,0,,13,6:32,0,4,0,0,
172,Brett Seney\seneybr01,25,TOR,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,14,7:01,2,3,0,5,0.0
173,Kirill Semyonov\semyoki01,27,TOR,C,3,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0.0,30,10:02,0,4,1,1,50.0
174,Andrej Sekera\sekeran01,35,DAL,D,32,1,3,4,-3,16,0.9,1,0,0,0,3,0,0,26,3.8,439,13:43,25,15,0,0,
175,Moritz Seider\seidemo01,20,DET,D,82,7,43,50,-9,34,6.7,5,2,0,4,22,19,2,187,3.7,1890,23:03,161,151,0,0,
176,Tyler Seguin\seguity01,30,DAL,C,81,24,25,49,-21,30,4.1,21,3,0,2,15,10,0,218,11.0,1443,17:49,33,96,464,364,56.0
177,Nick Seeler\seeleni01,28,PHI,D,43,1,2,3,-3,29,0.8,1,0,0,0,2,0,0,32,3.1,562,13:05,67,75,0,0,
178,Cole Schwindt\schwico01,20,FLA,RW,3,0,0,0,-4,0,-0.2,0,0,0,0,0,0,0,3,0.0,42,14:08,2,5,15,16,48.4
179,Jaden Schwartz\schwaja01,29,SEA,C,37,8,15,23,-13,14,1.5,7,1,0,0,12,3,0,101,7.9,683,18:27,13,42,17,18,48.6
180,Justin Schultz\schulju01,31,WSH,D,74,4,19,23,-15,16,2.5,2,2,0,1,16,3,0,92,4.3,1252,16:55,87,40,0,0,
181,Corey Schueneman\schueco01,26,MTL,D,24,2,4,6,-5,8,0.7,2,0,0,0,3,1,0,30,6.7,398,16:36,40,15,0,0,
182,Braden Schneider\schnebr01,20,NYR,D,43,2,9,11,5,9,2.4,2,0,0,0,8,1,0,25,8.0,665,15:29,52,60,0,0,
183,Nate Schmidt\schmina01,30,WPG,D,77,4,28,32,-4,10,4.3,3,1,0,1,17,10,1,117,3.4,1556,20:13,104,37,0,0,
184,Nick Schmaltz\schmani01,25,ARI,C,63,23,36,59,1,14,6.0,19,4,0,4,32,4,0,123,18.7,1150,18:15,28,15,114,125,47.7
185,Luke Schenn\schenlu01,32,VAN,D,66,5,12,17,15,61,4.4,4,0,1,1,12,0,0,78,6.4,1136,17:13,96,273,0,0,
186,Brayden Schenn\schenbr01,30,STL,C,62,24,34,58,21,33,6.5,17,7,0,3,24,10,0,111,21.6,1102,17:47,17,119,284,295,49.1
187,Mark Scheifele\scheima01,28,WPG,C,67,29,41,70,-17,23,6.5,22,7,0,3,29,12,0,159,18.2,1416,21:08,47,36,430,418,50.7
188,Colton Sceviour\scevico01,32,EDM,C,35,2,3,5,-6,26,-0.1,2,0,0,0,2,0,1,38,5.3,332,9:28,20,41,29,33,46.8
189,Marco Scandella\scandma01,31,STL,D,70,3,11,14,17,18,3.5,3,0,0,0,9,0,2,76,3.9,1270,18:08,70,106,0,0,
190,David Savard\savarda01,31,MTL,D,62,3,14,17,-22,36,1.3,3,0,0,0,13,0,1,66,4.5,1289,20:47,127,134,0,0,
191,Travis Sanheim\sanhetr01,25,PHI,D,80,7,24,31,9,34,6.3,7,0,0,1,24,0,0,123,5.7,1838,22:58,142,64,0,0,
192,Zach Sanford\sanfoza01,27,TOT,LW,80,9,12,21,-15,50,0.7,8,1,0,0,10,2,0,104,8.7,1144,14:18,67,169,5,17,22.7
193,Rasmus Sandin\sandira01,21,TOR,D,51,5,11,16,9,4,3.0,5,0,0,3,8,3,0,46,10.9,865,16:58,39,88,0,0,
194,Linus Sandin\sandili01,25,PHI,F,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:59,2,0,0,0,
195,Mattias Samuelsson\samuema02,21,BUF,D,42,0,10,10,-10,16,1.2,0,0,0,0,10,0,0,44,0.0,840,20:00,60,100,0,0,
196,Dmitri Samorukov\samordm01,22,EDM,D,1,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,0,,2,2:28,0,0,0,0,
