homeTeam,awayTeam,homeAbbrev,awayAbbrev,GamePK,year,Winner,F_home_assists,F_home_goals,F_home_pim,F_home_shots,F_home_blocked,F_home_pm,D_home_assists,D_home_goals,D_home_pim,D_home_shots,D_home_blocked,D_home_hits,D_home_pm,G_home_GAA,F_away_assists,F_away_goals,F_away_pim,F_away_shots,F_away_blocked,F_away_hits,F_away_pm,D_away_assists,D_away_goals,D_away_pim,D_away_shots,D_away_blocked,D_away_hits,D_away_pm,G_away_GAA,F_home_hits,Rk_H,AvAge_H,GP_H,W_H,L_H,OL_H,PTS_H,PTS%_H,GF_H,GA_H,SOW_H,SOL_H,SRS_H,SOS_H,GF/G_H,GA/G_H,PP_H,PPO_H,PP%_H,PPA_H,PPOA_H,PK%_H,SH_H,SHA_H,PIM/G_H,oPIM/G_H,S_H,S%_H,SA_H,SV%_H,SO_H,Hits_H,Hits/60_H,BkS_H,BkS/60_H,GvA_H,GvA/60_H,TkA_H,TkA/60_H,ENG_H,MsS_H,5v5 TOI/GP_H,SAT%_H,Playoffs%_H,Playoffs_H,WonCup_H,TA/GA_H,Rk_A,AvAge_A,GP_A,W_A,L_A,OL_A,PTS_A,PTS%_A,GF_A,GA_A,SOW_A,SOL_A,SRS_A,SOS_A,GF/G_A,GA/G_A,PP_A,PPO_A,PP%_A,PPA_A,PPOA_A,PK%_A,SH_A,SHA_A,PIM/G_A,oPIM/G_A,S_A,S%_A,SA_A,SV%_A,SO_A,Hits_A,Hits/60_A,BkS_A,BkS/60_A,GvA_A,GvA/60_A,TkA_A,TkA/60_A,ENG_A,MsS_A,5v5 TOI/GP_A,SAT%_A,Playoffs%_A,Playoffs_A,WonCup_A,TA/GA_A
Ottawa Senators,Tampa Bay Lightning,OTT,TBL,2005030112,2005,1.0,1.510508367,1.189052262,3.33657169,8.897502387,1.469106276,0.94855711,0.94327069,0.29176286,3.148938463,5.26003929,4.585025049,4.882627897,0.833248516,2.44224825,1.172189973,0.845137956,2.352546116,8.1039858,1.321924306,3.308248371,-0.590277775,0.776247377,0.145330329,2.477896493,3.402037222,4.993269436,2.286097172,-0.303276088,2.982754341,4.011191982,2,27.3,82,0.6341463414634146,0.25609756097560976,9,113,0.689,3.8048780487804876,2.5,2,6,1.18,-0.08,3.8,2.5,102,490,20.82,73,476,84.66,25,11,17.6,17.7,34.28048780487805,11.1,28.585365853658537,0.913,8.0,1765,21.29,1101,13.28,826,9.96,637,7.68,4,12.951219512195122,42.35,54.53,0.3125,b,0,0.7710843373493975,16,29.3,82,0.524390243902439,0.4024390243902439,6,92,0.561,3.0,3.1219512195121952,6,4,-0.18,-0.08,3.0,3.12,81,485,16.7,72,391,81.59,11,11,11.4,13.7,31.634146341463413,9.5,27.5609756097561,0.887,7.0,975,11.71,1075,12.91,690,8.28,610,7.32,8,13.207317073170731,47.45,53.44,0.0625,a,0,0.8840579710144929
Calgary Flames,Anaheim Ducks,CGY,ANA,2005030172,2005,1.0,0.978803888,0.710514052,3.641057421,6.461343605,1.637009756,-0.023345672,0.694009904,0.206914468,3.753299662,4.01739513,3.51554499,4.653462197,0.217227117,2.068651,1.222568642,0.902144458,3.67274628,7.895912765,1.051188638,3.297795782,0.163563907,0.78215282,0.161341676,3.924418091,3.92931671,2.750197046,3.349776792,0.331820516,2.661606,3.798332919,7,28.0,82,0.5609756097560976,0.3048780487804878,11,103,0.628,2.6341463414634148,2.3536585365853657,2,7,0.3,0.08,2.63,2.35,87,478,18.2,80,508,84.25,8,7,17.9,16.5,28.036585365853657,9.4,27.5609756097561,0.915,10.0,1648,19.84,964,11.6,842,10.13,637,7.67,6,11.731707317073171,42.8,50.43,0.1875,a,0,0.7571569595261598,12,28.2,82,0.524390243902439,0.32926829268292684,12,98,0.598,3.0609756097560976,2.707317073170732,3,7,0.37,0.06,3.06,2.71,87,480,18.13,84,510,83.53,9,13,17.3,16.9,31.524390243902438,9.7,29.646341463414632,0.909,3.0,1246,14.99,662,7.96,582,7.0,552,6.64,10,11.195121951219512,42.9,51.54,0.5625,c,0,0.9485714285714285
Carolina Hurricanes,Montréal Canadiens,CAR,MTL,2005030122,2005,1.0,1.451143687,0.997294352,2.350178365,7.924145615,1.766702628,-0.032094029,0.819828424,0.256837966,2.950838602,3.796018622,5.140563763,3.130889061,0.159398466,3.210062978,1.100112332,0.784174295,3.643449213,6.947857139,2.080509084,4.156653182,0.008503446,0.825843001,0.231976166,4.215997613,4.206934052,4.225886136,4.120738888,-0.128227804,2.196879,2.848027855,3,29.2,82,0.6341463414634146,0.2682926829268293,8,112,0.683,3.4878048780487805,3.1463414634146343,8,2,0.29,-0.13,3.49,3.15,95,531,17.89,81,445,81.8,17,13,13.5,16.2,31.134146341463413,11.2,30.451219512195124,0.897,4.0,1143,13.72,1259,15.12,501,6.01,518,6.22,8,13.060975609756097,45.15,50.55,1.0,e,1,1.0349417637271214,15,27.9,82,0.5121951219512195,0.3780487804878049,9,93,0.567,2.9390243902439024,2.975609756097561,2,3,-0.01,0.04,2.94,2.98,89,463,19.22,91,481,81.08,10,6,16.0,15.0,30.121951219512194,9.8,30.573170731707318,0.903,8.0,1648,19.86,1135,13.68,817,9.85,986,11.88,4,13.414634146341463,44.5,49.63,0.125,a,0,1.2060913705583758
New Jersey Devils,New York Rangers,NJD,NYR,2005030132,2005,0.0,1.151027692,0.829629823,3.528506235,7.67398278,1.160471769,-0.094106218,0.769248639,0.101835921,1.939359782,2.654577823,4.836743302,3.645972224,0.080623509,2.570692,1.527617512,0.9510141,4.060477851,8.009490573,1.773494639,3.210031016,0.837056173,0.667919227,0.21320987,2.975917875,3.922541698,4.709466466,3.010318832,0.218175962,2.951165,3.30260286,9,30.0,82,0.5609756097560976,0.32926829268292684,9,101,0.616,2.841463414634146,2.7439024390243905,9,4,0.05,-0.11,2.84,2.74,78,441,17.69,63,349,81.95,3,6,11.5,14.2,29.182926829268293,9.7,29.304878048780488,0.906,5.0,1167,13.98,989,11.85,956,11.45,654,7.83,4,12.487804878048781,47.15,49.9,0.3125,b,0,0.6838427947598253,10,28.2,82,0.5365853658536586,0.3170731707317073,12,100,0.61,3.048780487804878,2.573170731707317,7,4,0.38,-0.14,3.05,2.57,83,442,18.78,79,486,83.74,4,9,14.4,13.6,29.853658536585368,10.2,28.75609756097561,0.911,2.0,1197,14.37,1220,14.64,822,9.87,671,8.05,9,11.463414634146341,46.0,50.94,0.0,a,0,0.8156028368794328
Buffalo Sabres,Philadelphia Flyers,BUF,PHI,2005030142,2005,0.0,1.439794205,0.948357251,4.244292854,8.070116674,1.726423071,-0.167902026,1.058801904,0.164122477,2.730951672,2.548280094,4.504231493,2.374911791,-0.344483346,2.599732,1.288375526,0.774552907,3.479398037,7.60313507,1.50776457,3.730936128,0.178076715,0.866275398,0.208323583,2.997631566,3.971723971,4.55362497,4.187177964,0.158333764,2.965911712,3.183709298,5,26.9,82,0.6341463414634146,0.2926829268292683,6,110,0.671,3.3658536585365852,2.8536585365853657,5,5,0.5,-0.01,3.37,2.85,101,477,21.17,59,439,86.56,10,17,14.0,15.2,30.609756097560975,11.0,30.51219512195122,0.906,2.0,1073,12.91,1211,14.57,859,10.34,450,5.41,11,11.890243902439025,45.4,50.08,0.6875,c,0,0.5232108317214701,8,28.2,82,0.5487804878048781,0.3170731707317073,11,101,0.616,3.207317073170732,3.0853658536585367,4,6,0.0,-0.1,3.21,3.09,80,444,18.02,97,465,79.14,19,6,14.5,14.0,31.121951219512194,10.3,28.902439024390244,0.893,3.0,1294,15.54,1078,12.95,737,8.85,511,6.14,12,13.036585365853659,45.75,51.85,0.125,a,0,0.6937853107344633
Dallas Stars,Colorado Avalanche,DAL,COL,2005030162,2005,1.0,1.286634605,0.865460347,4.748554412,7.110880438,1.372000706,0.189357202,0.791330591,0.267573074,3.057647174,3.810786774,4.610924493,3.615652281,0.362061454,2.547184,1.511706601,0.888217743,2.973015421,6.905436398,1.59000724,2.397563433,-0.170449907,0.927832018,0.316800708,2.765632137,4.693040783,5.012535352,2.52050405,0.110814249,3.334026911,4.683167216,4,29.7,82,0.6463414634146342,0.2804878048780488,6,112,0.683,3.0853658536585367,2.6463414634146343,12,1,0.61,0.04,3.09,2.65,88,498,17.67,82,504,83.73,10,7,18.1,17.0,28.451219512195124,10.8,25.597560975609756,0.897,3.0,1722,20.62,1040,12.45,981,11.74,690,8.26,2,12.987804878048781,42.45,52.64,0.0625,a,0,0.7035775127768313,13,29.6,82,0.524390243902439,0.36585365853658536,9,95,0.579,3.4146341463414633,3.0609756097560976,3,6,0.39,0.07,3.41,3.06,89,473,18.82,69,448,84.6,11,12,14.0,15.4,30.048780487804876,11.4,29.451219512195124,0.896,5.0,949,11.43,1254,15.1,655,7.89,912,10.98,6,10.21951219512195,45.3,50.5,0.25,b,0,1.3916349809885933
Tampa Bay Lightning,Ottawa Senators,TBL,OTT,2005030113,2005,1.0,1.172189973,0.845137956,2.352546116,8.1039858,1.321924306,-0.590277775,0.776247377,0.145330329,2.477896493,3.402037222,4.993269436,2.286097172,-0.303276088,2.912448848,1.510508367,1.189052262,3.33657169,8.897502387,1.469106276,4.011191982,0.94855711,0.94327069,0.29176286,3.148938463,5.26003929,4.585025049,4.882627897,0.833248516,2.44224825,3.308248371,16,29.3,82,0.524390243902439,0.4024390243902439,6,92,0.561,3.0,3.1219512195121952,6,4,-0.18,-0.08,3.0,3.12,81,485,16.7,72,391,81.59,11,11,11.4,13.7,31.634146341463413,9.5,27.5609756097561,0.887,7.0,975,11.71,1075,12.91,690,8.28,610,7.32,8,13.207317073170731,47.45,53.44,0.0625,a,0,0.8840579710144929,2,27.3,82,0.6341463414634146,0.25609756097560976,9,113,0.689,3.8048780487804876,2.5,2,6,1.18,-0.08,3.8,2.5,102,490,20.82,73,476,84.66,25,11,17.6,17.7,34.28048780487805,11.1,28.585365853658537,0.913,8.0,1765,21.29,1101,13.28,826,9.96,637,7.68,4,12.951219512195122,42.35,54.53,0.3125,b,0,0.7710843373493975
Edmonton Oilers,Detroit Red Wings,EDM,DET,2005030153,2005,0.0,1.18915351,0.813299435,2.911229759,7.470339184,1.381963507,-0.139789614,0.661567688,0.277632497,3.005367265,3.804031711,4.967403881,2.595279409,-0.506596635,2.763635433,1.512919512,1.049307861,2.560705559,8.607418066,1.429894482,2.95773092,0.758714432,1.011159962,0.300130387,3.001126638,4.513677544,3.638412691,2.706597465,0.737205658,2.189216,3.456846815,14,28.7,82,0.5,0.34146341463414637,13,95,0.579,3.0365853658536586,2.951219512195122,7,9,0.15,0.09,3.04,2.95,88,485,18.14,76,478,84.1,15,5,14.4,15.3,29.78048780487805,10.2,25.536585365853657,0.884,2.0,1203,14.36,1167,13.93,1265,15.1,656,7.83,6,13.597560975609756,45.15,53.84,0.9375,d,0,0.5185430463576159,1,32.1,82,0.7073170731707317,0.1951219512195122,8,124,0.756,3.6707317073170733,2.5121951219512195,4,3,1.03,-0.14,3.67,2.51,102,461,22.13,67,461,85.47,7,10,13.4,13.0,34.09756097560975,10.8,26.585365853658537,0.906,9.0,1149,13.86,942,11.37,889,10.73,690,8.33,10,13.939024390243903,46.8,56.19,0.125,a,0,0.7763280521901211
Anaheim Ducks,Calgary Flames,ANA,CGY,2005030173,2005,1.0,1.222568642,0.902144458,3.67274628,7.895912765,1.051188638,0.163563907,0.78215282,0.161341676,3.924418091,3.92931671,2.750197046,3.349776792,0.331820516,2.661606,0.978803888,0.710514052,3.641057421,6.461343605,1.637009756,3.798332919,-0.023345672,0.694009904,0.206914468,3.753299662,4.01739513,3.51554499,4.653462197,0.217227117,2.068651,3.297795782,12,28.2,82,0.524390243902439,0.32926829268292684,12,98,0.598,3.0609756097560976,2.707317073170732,3,7,0.37,0.06,3.06,2.71,87,480,18.13,84,510,83.53,9,13,17.3,16.9,31.524390243902438,9.7,29.646341463414632,0.909,3.0,1246,14.99,662,7.96,582,7.0,552,6.64,10,11.195121951219512,42.9,51.54,0.5625,c,0,0.9485714285714285,7,28.0,82,0.5609756097560976,0.3048780487804878,11,103,0.628,2.6341463414634148,2.3536585365853657,2,7,0.3,0.08,2.63,2.35,87,478,18.2,80,508,84.25,8,7,17.9,16.5,28.036585365853657,9.4,27.5609756097561,0.915,10.0,1648,19.84,964,11.6,842,10.13,637,7.67,6,11.731707317073171,42.8,50.43,0.1875,a,0,0.7571569595261598
San Jose Sharks,Nashville Predators,SJS,NSH,2005030183,2005,0.0,1.377983859,0.985543449,3.747489332,7.831746174,1.630825569,0.256775294,0.667398052,0.221945194,2.546865445,3.556263518,3.206208163,3.877549009,0.051495389,2.232488056,1.21613423,0.905157674,4.09933624,7.405112697,1.631970795,2.911210507,0.219259674,0.865027425,0.205511663,3.740132761,3.973130171,4.624051431,3.705204875,0.273260553,2.607841243,4.187569399,11,26.5,82,0.5365853658536586,0.32926829268292684,11,99,0.604,3.231707317073171,2.8658536585365852,1,7,0.36,0.06,3.23,2.87,91,500,18.2,77,399,80.7,10,11,12.7,14.9,30.28048780487805,10.7,26.585365853658537,0.892,5.0,1411,16.95,898,10.78,807,9.69,514,6.17,5,11.890243902439025,46.2,53.25,0.375,b,0,0.6367389060887513,6,27.6,82,0.5975609756097561,0.3048780487804878,8,106,0.646,3.0853658536585367,2.731707317073171,6,3,0.32,-0.07,3.09,2.73,94,512,18.36,82,533,84.62,12,13,18.5,18.0,29.024390243902438,10.6,32.451219512195124,0.916,6.0,1155,13.91,1091,13.14,607,7.31,541,6.52,3,10.914634146341463,41.75,47.21,0.0625,a,0,0.8919288645690835
